identifier	parent
ID	SC %
BSEO:0000161	BSEO:0000005
BSEO:0000166	BSEO:0000005
BSEO:0000167	BSEO:0000005
BSEO:0000168	BSEO:0000005
BSEO:0000169	BSEO:0000005
BSEO:0000170	BSEO:0000005
BSEO:0000171	BSEO:0000006
BSEO:0000172	BSEO:0000006
BSEO:0000173	BSEO:0000006
BSEO:0000174	BSEO:0000006
BSEO:0000175	BSEO:0000006
BSEO:0000176	BSEO:0000006
BSEO:0000177	BSEO:0000006
BSEO:0000178	BSEO:0000005
BSEO:0000179	BSEO:0000005
BSEO:0000180	BSEO:0000005
BSEO:0000699	BSEO:0000021
BSEO:0000700	BSEO:0000021
BSEO:0000701	BSEO:0000021
BSEO:0000702	BSEO:0000021
BSEO:0000703	BSEO:0000021
BSEO:0000704	BSEO:0000021
BSEO:0000705	BSEO:0000021
BSEO:0000706	BSEO:0000021
BSEO:0000707	BSEO:0000021
BSEO:0000708	BSEO:0000021
BSEO:0000709	BSEO:0000020
BSEO:0000710	BSEO:0000020
BSEO:0000711	BSEO:0000020
BSEO:0000712	BSEO:0000020
BSEO:0000713	BSEO:0000020
BSEO:0000714	BSEO:0000019
BSEO:0000715	BSEO:0000019
BSEO:0000716	BSEO:0000019
BSEO:0000717	BSEO:0000019
BSEO:0000718	BSEO:0000019
BSEO:0000719	BSEO:0000018
BSEO:0000720	BSEO:0000018
BSEO:0000721	BSEO:0000018
BSEO:0000722	BSEO:0000018
BSEO:0000723	BSEO:0000018
BSEO:0000730	BSEO:0000017
BSEO:0000731	BSEO:0000017
BSEO:0000732	BSEO:0000017
BSEO:0000752	BSEO:0000016
BSEO:0000753	BSEO:0000016
BSEO:0000754	BSEO:0000016
BSEO:0000755	BSEO:0000016
BSEO:0000756	BSEO:0000016
BSEO:0000757	BSEO:0000016
BSEO:0000758	BSEO:0000016
BSEO:0000759	BSEO:0000016
BSEO:0000760	BSEO:0000016
BSEO:0000761	BSEO:0000016
BSEO:0000762	BSEO:0000016
BSEO:0000763	BSEO:0000016
BSEO:0000765	BSEO:0000015
BSEO:0000766	BSEO:0000015
BSEO:0000767	BSEO:0000015
BSEO:0000769	BSEO:0000014
BSEO:0000770	BSEO:0000014
BSEO:0000771	BSEO:0000014
BSEO:0000773	BSEO:0000013
BSEO:0000774	BSEO:0000013
BSEO:0000775	BSEO:0000013
BSEO:0000778	BSEO:0000012
BSEO:0000779	BSEO:0000012
BSEO:0000780	BSEO:0000012
BSEO:0000781	BSEO:0000012
BSEO:0000782	BSEO:0000011
BSEO:0000783	BSEO:0000011
BSEO:0000784	BSEO:0000011
BSEO:0000785	BSEO:0000011
BSEO:0000786	BSEO:0000010
BSEO:0000787	BSEO:0000010
BSEO:0000788	BSEO:0000010
BSEO:0000789	BSEO:0000010
BSEO:0000793	BSEO:0000009
BSEO:0000794	BSEO:0000009
BSEO:0000795	BSEO:0000009
BSEO:0000797	BSEO:0000008
BSEO:0000798	BSEO:0000008
BSEO:0000799	BSEO:0000008
BSEO:0000800	BSEO:0000008
BSEO:0000801	BSEO:0000008
BSEO:0000802	BSEO:0000008
BSEO:0000803	BSEO:0000008
BSEO:0000804	BSEO:0000008
BSEO:0000811	BSEO:0000007
BSEO:0000812	BSEO:0000007
BSEO:0000813	BSEO:0000007
BSEO:0000814	BSEO:0000007
BSEO:0000815	BSEO:0000007
BSEO:0000816	BSEO:0000007
