name	frequency
cc	236
aug	147
PP	56
RIFIT	49
pVTZ	32
pVQZ	30
pVDZ	28
def2	28
pV5Z	24
dyall	24
Sapporo	24
x2c	22
jorge	21
ANO	20
DK	20
pcJ	20
F12	19
OPTRI	18
lcecp	18
pwCVQZ	17
pwCVTZ	17
seg	16
pwCVDZ	15
(Dunning	14
Hay)	14
DZP	14
DK3	13
ZORA	13
pwCV5Z	13
ano	12
X2C	12
binning	12
TZP	12
DKH3	12
diffuse	12
+	11
QZP	11
NR	10
J	10
pc	10
pcS	10
pcseg	10
pcSseg	10
QZVP	10
SVP	10
JKFIT	9
ECP	9
DZ	8
pCVQZ	8
pCVTZ	8
ccX	8
pcH	8
pcX	8
TZVP	8
NASA	8
Ames	8
SARC2	8
2c	8
s	8
RCC	7
pV(Q+d)Z	7
pCVDZ	7
pV6Z	7
SV(P)	7
dgauss	7
dhf	7
Rydberg	7
31G	6
admm	6
TZ	6
pV(T+d)Z	6
mcc	6
DKH2	6
QZVPP	6
TZVPP	6
DKH	6
STO	6
Stuttgart	6
QZ	5
pV(D+d)Z	5
d	5
FANO	5
jgauss	5
PAW	5
CV	4
21G	4
31G*	4
Ahlrichs	4
pV7Z	4
F12(rev2)	4
ccJ	4
coemd	4
DFO	4
Partridge	4
Uncontracted	4
PB6	4
pcemd	4
QZV	4
saug	4
3G	4
RSC	4
QZVPall	4
QZVPPall	4
AHGBS	3
AHGBSP1	3
AHGBSP2	3
AHGBSP3	3
VDZ	3
VT	3
ATZP	3
pCV5Z	3
5Z	3
opt)	3
OPTRI+	3
ccemd	3
ref	3
universal	3
JFIT	3
Double	3
Diffuse	3
HGBS	3
HGBSP1	3
HGBSP2	3
HGBSP3	3
5ZP	3
6ZP	3
jul	3
jun	3
LANL2DZ	3
maug	3
PB4	3
D	3
PB5	3
pob	3
PsX	3
SBKJC	3
SBO4	3
SV	3
SV(P)all	3
SVPall	3
TZVPall	3
TZVPPall	3
2ZaPa	2
3ZaPa	2
4ZaPa	2
5ZaPa	2
31++G**	2
31+G*	2
311++G**	2
311+G*	2
311G	2
311G**	2
Blaudeau	2
31G**	2
acv2z	2
acv3z	2
acv4z	2
VTZ	2
pV(5+d)Z	2
pV8Z	2
0_2006	2
1_2006	2
2_2006	2
3_2006	2
4_2006	2
CRENBL	2
CRENBS	2
mTZVPP	2
QZVPPD	2
SVPD	2
TZVPD	2
TZVPPD	2
DZVP	2
NRLMOL	2
a1	2
dftjfit	2
dftxfit	2
a2	2
epc	2
IGLO	2
m6	2
may	2
MINI	2
L1	2
contracted	2
L2	2
F	2
G	2
pecJ	2
rev2	2
Roos	2
Augmented	2
