name	curated	frequency	examples
cc		236	cc-pV5Z-PP, cc-pVDZ-F12-OPTRI, cc-pwCVTZ-DK3
aug		147	aug-cc-pVQZ-RIFIT, aug-cc-pVTZ, aug-pcJ-3
pp		56	aug-cc-pVTZ-PP-RIFIT, cc-pV5Z-PP-RIFIT, cc-pwCV5Z-PP
rifit		49	6-311G**-RIFIT, cc-pwCVQZ-PP-RIFIT, def2-SV(P)-RIFIT
pvtz		39	cc-pVTZ(fi/sf/lc), cc-pVTZ(pt/sf/fw)
pvqz		37	aug-cc-pVQZ-DK, aug-cc-pVQZ-PP-OPTRI, cc-pVQZ-PP-RIFIT
pvdz		35	aug-cc-pVDZ-DK, aug-cc-pVDZ-PP, cc-pVDZ(pt/sf/lc)
x2c	yes	34	aug-cc-pVDZ-X2C, cc-pwCVDZ-X2C, x2c-QZVPall
ano		32	ANO-R1, ano-pVDZ, aug-ano-pVDZ
pv5z		30	cc-pV5Z(fi/sf/sc), cc-pV5Z(pt/sf/sc), cc-pV5Z-PP-RIFIT
def2		28	def2-SVPD, def2-universal-JFIT, def2-universal-JKFIT
sapporo		24	Sapporo-DKH3-QZP-diffuse, Sapporo-TZP-diffuse
dyall		24	dyall-aae4z, dyall-av4z, dyall-cv3z
f12		23	cc-pCVDZ-F12-OPTRI, cc-pCVTZ-F12-OPTRI, cc-pVQZ-F12
jorge		21	jorge-5ZP-DKH, jorge-6ZP
pv		20	aug-cc-pV(5+d)Z, aug-cc-pV(Q+d)Z, may-cc-pV(T+d)Z
pcj		20	pcJ-3, pcJ-3_2006, pcJ-4_2006
dk		20	aug-cc-pVQZ-DK, cc-pwCV5Z-DK, cc-pwCVQZ-DK
seg		19	aug-seg-cc-pVQZ-PP, cc-pVTZ(seg-opt), seg-cc-pwCVQZ-PP
lcecp		18	lcecp-0-TZVPP, lcecp-2-QZVP, lcecp-2-SVP
optri		18	aug-cc-pV5Z-PP-OPTRI, aug-cc-pVQZ-OPTRI, aug-cc-pwCVDZ-PP-OPTRI
pwcvqz		17	aug-cc-pwCVQZ, aug-cc-pwCVQZ-DK, cc-pwCVQZ-X2C
pwcvtz		17	cc-pwCVTZ, cc-pwCVTZ-RIFIT, cc-pwCVTZ-X2C
		16	SV + Rydberg (Dunning-Hay), SVP (Dunning-Hay), SVP + Diffuse (Dunning-Hay)
pwcvdz		15	aug-cc-pwCVDZ-X2C, cc-pwCVDZ, cc-pwCVDZ-PP-RIFIT
dzp		15	DZP + Diffuse (Dunning-Hay), DZP + Rydberg (Dunning-Hay)
diffuse		15	Sapporo-DKH3-DZP-diffuse, Sapporo-DZP-diffuse, Sapporo-TZP-2012-diffuse
dunning		14	DZ + Double Rydberg (Dunning-Hay), SV (Dunning-Hay), SVP + Diffuse + Rydberg (Dunning-Hay)
hay)		14	DZP (Dunning-Hay), DZP + Diffuse (Dunning-Hay), SVP (Dunning-Hay)
zora		13	SARC2-QZV-ZORA, jorge-ATZP-ZORA, jorge-QZP-ZORA
dk3		13	aug-cc-pVDZ-DK3, aug-cc-pVQZ-DK3, cc-pwCVTZ-DK3
sv		13	SV + Rydberg (Dunning-Hay), def2-SV(P)-JKFIT, dhf-SV(P)
pwcv5z		13	aug-cc-pwCV5Z-PP-OPTRI, cc-pwCV5Z-DK, cc-pwCV5Z-PP-RIFIT
dkh3		12	Sapporo-DKH3-DZP-diffuse, Sapporo-DKH3-QZP-2012-diffuse, Sapporo-DKH3-QZP-diffuse
tzp		12	Sapporo-DKH3-TZP, Sapporo-DKH3-TZP-diffuse, Sapporo-TZP-2012
qzp		12	Sapporo-DKH3-QZP-diffuse, Sapporo-QZP-diffuse, jorge-QZP-ZORA
binning		12	binning 641(df), binning 962+(df)
+		11	SV + Double Rydberg (Dunning-Hay), SV + Rydberg (Dunning-Hay)
qzvp		10	SARC2-QZVP-DKH2, dhf-QZVP
nr		10	2ZaPa-NR, 4ZaPa-NR, 6ZaPa-NR
svp		10	dhf-SVP, lcecp-1-SVP, lcecp-2-SVP
dz		10	DZ + Double Rydberg (Dunning-Hay), SBO4-DZ(d,p)-3G
pcseg		10	aug-pcseg-0, aug-pcseg-1, aug-pcseg-3
j		10	6-31+G*-J, 6-311++G**-J
pc		10	aug-pc-4, pc-1, pc-3
pcsseg		10	aug-pcSseg-2, pcSseg-3, pcSseg-4
pcs		10	aug-pcS-2, aug-pcS-3, pcS-2
31g		9	6-31G, 6-31G(3df,3pd), 6-31G-J
jkfit		9	cc-pVQZ-JKFIT, def2-SV(P)-JKFIT, def2-universal-JKFIT
tzvp		9	lcecp-2-TZVP, pob-TZVP
ecp		9	CRENBS ECP, LANL2DZ ECP, Stuttgart RSC Segmented + ECP
d		8	PB4-D, PB5-D, d-aug-cc-pVQZ
s		8	x2c-QZVPPall-s, x2c-SVPall-s, x2c-TZVPall-s
pcx		8	aug-pcX-4, pcX-2, pcX-4
sarc2		8	SARC2-QZV-ZORA-JKFIT, SARC2-QZVP-DKH2, SARC2-QZVP-ZORA-JKFIT
2c		8	x2c-QZVPPall-2c-s, x2c-QZVPall-2c, x2c-QZVPall-2c-s
ccx		8	aug-ccX-DZ, ccX-5Z
nasa		8	NASA Ames ANO, NASA Ames cc-pCVTZ, NASA Ames cc-pVTZ
ames		8	NASA Ames ANO2, NASA Ames cc-pCVTZ
pch		8	aug-pcH-2, pcH-3, pcH-4
pcvqz		8	NASA Ames cc-pCVQZ, aug-cc-pCVQZ-DK, cc-pCVQZ
pcvtz		8	cc-pCVTZ-F12, cc-pCVTZ-F12-OPTRI, cc-pCVTZ-F12-RIFIT
pcvdz		7	aug-cc-pCVDZ, aug-cc-pCVDZ-DK, cc-pCVDZ-F12-RIFIT
q+d)z		7	aug-cc-pV(Q+d)Z, jun-cc-pV(Q+d)Z
rydberg		7	DZ + Rydberg (Dunning-Hay), SV + Rydberg (Dunning-Hay)
pv6z		7	aug-cc-pV6Z-RIFIT, cc-pV6Z, cc-pV6Z-RIFIT
p)		7	def2-SV(P), def2-SV(P)-RIFIT, lcecp-0-SV(P)
dgauss		7	dgauss-a1-dftjfit, dgauss-a1-dftxfit
rcc		7	ANO-RCC, ANO-RCC-VDZP, ANO-RCC-VTZP
dhf		7	dhf-QZVP, dhf-SVP, dhf-TZVP
qzvpp		6	def2-QZVPP, def2-QZVPP-RIFIT
sto		6	STO-4G, STO-5G
d)		6	binning 641(d), binning 641+(d), binning 962(d)
stuttgart		6	Stuttgart RLC, Stuttgart RLC ECP, Stuttgart RSC 1997
t+d)z		6	aug-cc-pV(T+d)Z, may-cc-pV(T+d)Z
dkh	yes	6	jorge-6ZP-DKH, jorge-TZP-DKH
dkh2		6	Cologne DKH2, SARC2-QZV-DKH2-JKFIT, SARC2-QZVP-DKH2
mcc		6	aug-mcc-pV6Z, aug-mcc-pVTZ
admm		6	admm-1, admm-3, aug-admm-2
tz		6	FANO-TZ, TZ (Dunning-Hay), aug-ccX-TZ
tzvpp		6	lcecp-1-TZVPP, lcecp-2-TZVPP
fano		5	FANO-5Z, FANO-DZ
jgauss		5	jgauss-qz2p, jgauss-qzp, jgauss-tzp1
qz		5	ANO-VT-QZ, FANO-QZ, ccX-QZ
paw		5	PAW-L1, PAW-L1-contracted, PAW-L2-contracted
d+d)z		5	cc-pV(D+d)Z, jun-cc-pV(D+d)Z, maug-cc-pV(D+d)Z
coemd		4	coemd-2, coemd-3, coemd-ref
fi/sf/sc)		4	cc-pV5Z(fi/sf/sc), cc-pVDZ(fi/sf/sc)
pt/sf/sc)		4	cc-pV5Z(pt/sf/sc), cc-pVDZ(pt/sf/sc), cc-pVQZ(pt/sf/sc)
df)		4	binning 641+(df), binning 962(df)
qzv		4	SARC2-QZV-DKH2-JKFIT, SARC2-QZV-ZORA, SARC2-QZV-ZORA-JKFIT
pt/sf/lc)		4	cc-pVDZ(pt/sf/lc), cc-pVQZ(pt/sf/lc), cc-pVTZ(pt/sf/lc)
rev2)		4	cc-pVDZ-F12(rev2), cc-pVQZ-F12(rev2)
saug		4	saug-ano-pVDZ, saug-ano-pVQZ
fi/sf/fw)		4	cc-pVDZ(fi/sf/fw), cc-pVQZ(fi/sf/fw), cc-pVTZ(fi/sf/fw)
pt/sf/fw)		4	cc-pVDZ(pt/sf/fw), cc-pVQZ(pt/sf/fw), cc-pVTZ(pt/sf/fw)
fi/sf/lc)		4	cc-pVDZ(fi/sf/lc)
pv7z		4	aug-cc-pV7Z, pV7Z
pb6		4	PB6-F, PB6-G
cv		4	2ZaPa-NR-CV, 4ZaPa-NR-CV
21g		4	3-21G, 6-21G
partridge		4	Partridge Uncontracted 2, Partridge Uncontracted 4
qzvppall		4	x2c-QZVPPall, x2c-QZVPPall-2c-s
qzvpall		4	x2c-QZVPall-2c, x2c-QZVPall-2c-s, x2c-QZVPall-s
uncontracted		4	Partridge Uncontracted 2, Partridge Uncontracted 4
