identifier	type	label	abbreviation	parent	description	has role	has family	has function type
ID	TYPE	AT rdfs:label^^xsd:string	AT oboInOwl:hasExactSynonym^^xsd:string	SC %	AT dc:description^^xsd:string	SC BSEO:0100000	SC BSEO:0100001	SC BSEO:0100002 SPLIT=|
BSEO:0000005	owl:Class	ANO basis set		BSEO:0000004				
BSEO:0000006	owl:Class	ANO-RCC basis set		BSEO:0000004				
BSEO:0000007	owl:Class	STO basis set		BSEO:0000004				
BSEO:0000008	owl:Class	seg-cc basis set		BSEO:0000004				
BSEO:0000009	owl:Class	SBO4 basis set		BSEO:0000004				
BSEO:0000010	owl:Class	saug-ano basis set		BSEO:0000004				
BSEO:0000011	owl:Class	SARC2-QZVP basis set		BSEO:0000004				
BSEO:0000012	owl:Class	SARC2-QZV basis set		BSEO:0000004				
BSEO:0000013	owl:Class	Sapporo-TZP basis set		BSEO:0000004				
BSEO:0000014	owl:Class	Sapporo-QZP basis set		BSEO:0000004				
BSEO:0000015	owl:Class	Sapporo-DZP basis set		BSEO:0000004				
BSEO:0000016	owl:Class	Sapporo-DKH3 basis set		BSEO:0000004				
BSEO:0000017	owl:Class	pob basis set		BSEO:0000004				
BSEO:0000018	owl:Class	pcSseg basis set		BSEO:0000004				
BSEO:0000019	owl:Class	pcseg basis set		BSEO:0000004				
BSEO:0000020	owl:Class	pcS basis set		BSEO:0000004				
BSEO:0000021	owl:Class	pcJ basis set		BSEO:0000004				
BSEO:0001005	owl:Class	orbital		BSEO:0000001				
BSEO:0001006	owl:Class	rifit		BSEO:0000001				
BSEO:0001007	owl:Class	admmfit		BSEO:0000001				
BSEO:0001008	owl:Class	optri		BSEO:0000001				
BSEO:0001009	owl:Class	jkfit		BSEO:0000001				
BSEO:0001010	owl:Class	jfit		BSEO:0000001				
BSEO:0001011	owl:Class	dftjfit		BSEO:0000001				
BSEO:0001012	owl:Class	dftxfit		BSEO:0000001				
BSEO:0001013	owl:Class	guess		BSEO:0000001				
BSEO:0002014	owl:Class	ranasinghe		BSEO:0000002				
BSEO:0002015	owl:Class	pople		BSEO:0000002				
BSEO:0002016	owl:Class	sauer_j		BSEO:0000002				
BSEO:0002017	owl:Class	pople_fit		BSEO:0000002				
BSEO:0002018	owl:Class	zorrilla		BSEO:0000002				
BSEO:0002019	owl:Class	blaudeau		BSEO:0000002				
BSEO:0002020	owl:Class	acvxz-j		BSEO:0000002				
BSEO:0002021	owl:Class	jensen		BSEO:0000002				
BSEO:0002022	owl:Class	lehtola_hgbs		BSEO:0000002				
BSEO:0002023	owl:Class	ahlrichs		BSEO:0000002				
BSEO:0002024	owl:Class	ano		BSEO:0000002				
BSEO:0002025	owl:Class	ano_claudino		BSEO:0000002				
BSEO:0002026	owl:Class	truhlar		BSEO:0000002				
BSEO:0002027	owl:Class	sigmanz		BSEO:0000002				
BSEO:0002028	owl:Class	jorge		BSEO:0000002				
BSEO:0002029	owl:Class	dunning		BSEO:0000002				
BSEO:0002030	owl:Class	dunning_dk		BSEO:0000002				
BSEO:0002031	owl:Class	dunning_fit		BSEO:0000002				
BSEO:0002032	owl:Class	dunning_pp		BSEO:0000002				
BSEO:0002033	owl:Class	dunning_pp_fit		BSEO:0000002				
